NAME,TESTTAG,T1_TIME_MIDPOINT_MEAN,T2_TIME_LENGTH_MEAN,T3_TIME_MIDPOINT_VAR,P1_PARAMETER_MEAN,P2_PARAMETER_VARIANCE,O0_TOTAL_COUNT,O1_FUZZRANGE_COUNT,O2_DELAY_COUNT,O3_DELETION_COUNT,METRIC_Q
Test_133_20_06_2023_16_46_05,0,0.7400063040109266,0.10578290568189874,0.0,0.2319662285778303,0.0,1.0,1.0,0.0,0.0,0.6363636363636364
Test_134_20_06_2023_16_46_05,0,0.9610824737124465,4.389814140637327E-5,0.0,0.2922217837768825,0.0,1.0,1.0,0.0,0.0,0.3
Test_135_20_06_2023_16_46_05,0,0.4464076402665946,0.3790451506212572,0.0,0.4561617653842606,0.0,1.0,1.0,0.0,0.0,0.7545454545454545
Test_136_20_06_2023_16_46_05,0,0.6345362167411999,0.695425192705221,0.0,0.16196442539590888,0.0,1.0,1.0,0.0,0.0,0.6409090909090909
Test_137_20_06_2023_16_46_05,1,0.5234645647708487,0.20738884495637455,0.0,0.01330126485758763,0.0,1.0,1.0,0.0,0.0,0.9090909090909091
Test_138_20_06_2023_16_46_05,0,0.18101725185868384,0.052106764275077516,0.0,0.491577075895296,0.0,1.0,1.0,0.0,0.0,0.6454545454545455
Test_139_20_06_2023_16_46_05,0,0.6060709516328782,0.2902917567004829,0.16165822677566008,0.18408827314015086,0.020914604490043717,2.0,2.0,0.0,0.0,0.8136363636363636
Test_140_20_06_2023_16_46_05,0,0.5232463503563067,0.1354114639265992,0.0,7.686501967413909E-4,0.0,1.0,1.0,0.0,0.0,0.30454545454545456
Test_141_20_06_2023_17_01_16,0,0.18101725185868384,0.052106764275077516,0.0,0.21335452919720163,0.0,1.0,1.0,0.0,0.0,0.3090909090909091
Test_142_20_06_2023_17_01_16,0,0.8784788051740913,0.2089521243701674,0.0,0.021773378440552625,0.0,1.0,1.0,0.0,0.0,0.5545454545454546
Test_143_20_06_2023_17_01_16,0,0.781973646282039,0.36909020820449323,0.0,0.06198673627082587,0.0,1.0,1.0,0.0,0.0,0.5590909090909091
Test_144_20_06_2023_17_01_16,0,0.1364616041914523,0.16474253083465049,0.0,0.01330126485758763,0.0,1.0,1.0,0.0,0.0,0.759090909090909
Test_145_20_06_2023_17_01_16,0,0.7998747028939573,0.027889940478040387,0.01962035216606728,0.19151225281190487,0.019374950407206878,2.0,2.0,0.0,0.0,0.7636363636363637
Test_146_20_06_2023_17_01_16,0,0.6277215206577016,0.0049964699072587715,0.0,0.01330126485758763,0.0,1.0,1.0,0.0,0.0,0.31363636363636366
Test_147_20_06_2023_17_01_16,0,0.5129810945534926,0.5303120564773633,0.035526755783206104,0.12776278701401986,0.005691867318778916,2.0,2.0,0.0,0.0,0.990909090909091
Test_148_20_06_2023_17_01_16,0,0.7220614491529155,0.31313831489833577,0.0,0.09424320110136081,0.0,1.0,1.0,0.0,0.0,0.3181818181818182
Test_149_20_06_2023_17_01_16,0,0.29428403533089237,0.5580220678895577,0.0,0.2922217837768825,0.0,1.0,1.0,0.0,0.0,0.9454545454545454
Test_150_20_06_2023_17_01_16,0,0.7103569170030575,0.3623727066573915,0.0,0.01330126485758763,0.0,1.0,1.0,0.0,0.0,0.7681818181818182
Test_151_20_06_2023_17_16_31,0,0.6051371660801863,0.14993163833543038,0.17024610319234154,0.19151225281190487,0.019374950407206878,2.0,2.0,0.0,0.0,0.5636363636363636
Test_152_20_06_2023_17_16_31,0,0.5922192717774006,0.1547539313453985,0.0,0.13761021517830757,0.0,1.0,1.0,0.0,0.0,0.32272727272727275
Test_153_20_06_2023_17_16_31,0,0.1364616041914523,0.16474253083465049,0.0,0.01330126485758763,0.0,1.0,1.0,0.0,0.0,0.7727272727272727
Test_154_20_06_2023_17_16_31,0,0.7487504515189,0.13504334568858495,0.026027469201896802,0.13214411067381032,1.6027822200666983E-4,2.0,2.0,0.0,0.0,0.5681818181818182
Test_155_20_06_2023_17_16_31,0,0.5714793121815331,0.4297653130147855,0.0,0.13013616086193985,0.0,1.0,1.0,0.0,0.0,0.7772727272727272
Test_156_20_06_2023_17_16_31,0,0.2860727568961273,0.11186514814422632,0.0,0.07049126563123426,0.0,1.0,1.0,0.0,0.0,0.32727272727272727
Test_157_20_06_2023_17_16_31,0,0.5571135480196385,0.528773533605316,0.0,0.12258673792960233,0.0,1.0,1.0,0.0,0.0,0.6954545454545454
Test_158_20_06_2023_17_16_31,1,0.6242067640681552,0.378751589417283,0.19528829099186945,0.0458938851059267,4.127338791340558E-5,2.0,2.0,0.0,0.0,0.9954545454545455
Test_159_20_06_2023_17_16_31,0,0.5169458775877988,0.6376141596820452,0.039491538817512245,0.42424254721704774,0.13897548767105417,2.0,2.0,0.0,0.0,0.8318181818181818
Test_160_20_06_2023_17_16_31,0,0.6806388520385644,0.03617681106214932,0.0,0.1864283353725203,0.0,1.0,1.0,0.0,0.0,0.8363636363636363
Test_161_20_06_2023_17_31_53,1,0.821789797281538,0.26707965433755704,0.16703770701460602,0.5476425786360157,0.004407030465407285,2.0,2.0,0.0,0.0,0.9727272727272728
Test_162_20_06_2023_17_31_53,0,0.8194950550600246,0.006368979270553132,0.0,0.33991822943247885,0.0,1.0,1.0,0.0,0.0,0.33181818181818185
Test_163_20_06_2023_17_31_53,0,0.42841247432523594,0.8092593532665814,0.0,0.36165168232044403,0.0,1.0,1.0,0.0,0.0,0.8954545454545455
Test_164_20_06_2023_17_31_53,0,0.6155865304213943,0.3524303075301113,0.0,0.46237632853851796,0.0,1.0,1.0,0.0,0.0,0.9136363636363637
Test_165_20_06_2023_17_31_53,0,0.38986164638590515,0.2159121873234447,0.0,0.1864283353725203,0.0,1.0,1.0,0.0,0.0,0.33636363636363636
Test_166_20_06_2023_17_31_53,0,0.18101725185868384,0.052106764275077516,0.0,0.08463896411599148,0.0,1.0,1.0,0.0,0.0,0.3409090909090909
Test_167_20_06_2023_17_31_53,0,0.5765459246609441,0.3608407408108077,0.2743220714034877,0.05794863829651318,0.0011371253303875386,2.0,2.0,0.0,0.0,0.34545454545454546
Test_168_20_06_2023_17_31_53,0,0.4677333726968884,0.5638496122139474,0.0,0.3277626919064924,0.0,1.0,1.0,0.0,0.0,0.8181818181818182
Test_169_20_06_2023_17_31_53,0,0.8624586068251361,0.035865474133091046,0.0,0.01330126485758763,0.0,1.0,1.0,0.0,0.0,0.65
Test_170_20_06_2023_17_31_53,0,0.8263074305181166,0.09674916581537818,0.00681237545809199,0.051925141958823154,1.5459045343628717E-7,2.0,2.0,0.0,0.0,0.7818181818181819
Test_171_20_06_2023_17_47_19,0,0.561948000990486,0.41676066036011317,0.0,0.048830196320984176,0.0,1.0,1.0,0.0,0.0,0.35
Test_172_20_06_2023_17_47_19,0,0.6981130215673608,0.38968866902884663,0.1540717736787014,0.02744826362996078,6.185197975513482E-4,2.0,2.0,0.0,0.0,0.8727272727272727
Test_173_20_06_2023_17_47_19,0,0.740797153370357,0.4920197346764797,0.0,0.12032927872346325,0.0,1.0,1.0,0.0,0.0,0.35454545454545455
Test_174_20_06_2023_17_47_19,1,0.372399861662832,0.23213229597679952,0.0,0.4452256685031247,0.0,1.0,1.0,0.0,0.0,0.9227272727272727
Test_175_20_06_2023_17_47_19,0,0.6361214855211885,0.2582943873476503,0.04451736651737592,0.07451223343922032,4.925697101280423E-4,2.0,2.0,0.0,0.0,0.9545454545454546
